OC001;Australia
OC002;Christmas
OC003;Cocos  
OC004;Lord Howe  
OC005;Norfolk  
OC006;Tasmania  
OC007;Willis  
OC008;Bismarck  
OC009;Palau  
OC010;Pohnpei  
OC011;Truk  
OC012;Yap  
OC013;Rarotonga  
OC014;Manihiki  
OC015;Tuvalu  
OC016;Vanua/Viti Lev  
OC017;Gilbert  
OC018;Banaba  
OC019;Hawaiian  
OC020;Kure  
OC021;Java  
OC022;Bali  
OC023;Johnston  
OC024;Christmas  
OC025;Admiralty  
OC026;Guam  
OC027;Marquesas  
OC028;Ralik  
OC029;Ratak  
OC030;Midway  
OC031;Nauru  
OC032;New Caledonia  
OC033;Loyalty  
OC034;New Guinea  
OC035;New Hebrides  
OC036;North Island  
OC037;Campbell  
OC038;Chatham  
OC039;Kermadec  
OC040;Niue  
OC041;Ninigo  
OC042;Luzon  
OC043;Phoenix  
OC044;Pitcairn  
OC045;Tutuila  
OC046;Windward  
OC047;Solomon  
OC048;Tokelau  
OC049;Tongatapu  
OC050;Ruruta  
OC051;Rapa  
OC052;Duke/Gloucester  
OC053;Wake  
OC054;Wallsi  
OC055;Fren. Frigate  
OC056;Henderson  
OC057;Maupihaa  
OC058;D'Entrecastea  
OC059;Kosrae  
OC060;Rotuma  
OC061;Minerva Reefs  
OC062;Pukapuka  
OC063;Gambier  
OC064;Vava'u  
OC065;Reef  
OC066;Tuamotu  
OC067;Leeward  
OC068;Snares  
OC069;Lihir  
OC070;Ceram  
OC071;Buccaneer  
OC072;Mellish  
OC073;Minami Torish  
OC074;Auckland  
OC075;Riau  
OC075;Sula  
OC077;Manau  
OC077;Ulithi  
OC079;Belep  
OC080;Suwarrow  
OC081;Jarvis  
OC082;Penrhyn  
OC083;Aitutaki  
OC084;Fanning/Washi  
OC085;Palymra  
OC086;North Marianas  
OC087;Enewetak  
OC088;Borneo  
OC089;Baker/Howlan  
OC090;Calamian  
OC091;Polillo  
OC092;Babuyan  
OC093;Batan  
OC094;Disappointment  
OC095;Lau  
OC096;Kingman Reef  
OC097;Western Samoa  
OC098;Pakapuka  
OC099;Tabar  
OC100;Santa Cruz  
OC101;Feni  
OC102;Tanga  
OC103;St. Matthias  
OC104;Banks  
OC105;Cagayan Sulu  
OC106;Natuna Besar  
OC107;Lingga  
OC108;Anambas  
OC109;Natuna Selat  
OC110;Torres  
OC111;Shepherd  
OC112;Conway Reef  
OC113;Actaeon  
OC114;Raivavae  
OC115;Trobriand  
OC116;D'Entrecastea  
OC117;Louisiade  
OC118;Horne  
OC119;Jolo  
OC120;Cuyo  
OC121;Mamanuca  
OC122;Tambelan  
OC123;Niuafo'ou  
OC124;Palmerston  
OC125;Semirara  
OC126;Lubang  
OC127;Rennell  
OC128;Palawan  
OC129;Visayan  
OC130;Mindanao  
OC131;King George  
OC132;East Yap  
OC133;Sabah Coast  
OC134;South Island  
OC135;Bougainville  
OC136;Phillip  
OC137;Moreton/Bribi  
OC138;Torres Strait  
OC139;Kangaroo  
OC140;Barrow/Theve  
OC141;Groot Eylan  
OC142;Fraser/Curtis  
OC143;Sumatra  
OC144;Bangka/Belitun  
OC145;Halmahera  
OC146;Sulawesi  
OC147;Irian Jaya Coast  
OC148;Timor  
OC149;New Georgia  
OC150;Lombok  
OC151;Flores  
OC152;Tubuai  
OC153;Papua N.G. Coast  
OC154;Sir G. Moore  
OC155;West Truk  
OC156;Yasawa  
OC157;Banda  
OC158;Florida  
OC159;Mangaia  
OC160;Cumberland  
OC161;Nias  
OC162;Shortland  
OC163;Vanikolo  
OC164;Penguin  
OC165;Sarawak Coast  
OC166;Kalimantan Coast  
OC167;Kapingamarangi  
OC168;Russell  
OC169;Ha'apai  
OC170;Woody  
OC171;Magnetic  
OC172;Fitzroy  
OC173;Bathurst  
OC174;Tawi Tawi  
OC175;Sarangani  
OC176;Chesterfield  
OC177;Seribu  
OC178;Tikopia  
OC179;Duff  
OC180;Ngulu  
OC181;Witu  
OC182;Ducie  
OC183;Wedge  
OC184;Muara Besar  
OC185;Bremmer  
OC186;Karimunjawa  
OC187;Lizard  
OC188;Pangutaran  
OC189;Ringgold  
OC190;Rose  
OC191;Niauatoputapu  
OC192;Onting Java  
OC193;Cheyne  
OC194;Solitary  
OC195;Furneaux  
OC196;Gabo  
OC197;Bawean  
OC198;Sir E. Pellew  
OC199;Dampier  
OC200;Swains  
OC201;North Island Coast  
OC208;Banggai  
OC209;Talaud  
OC210;Sangihe  
OC211;Houtman Abrolhos  
OC212;NSW State Centre  
OC213;Togian  
OC214;WA NW Coast East  
OC215;Mentawai  
OC216;Northern Territory outlier  
OC217;Kangean  
OC218;Matthew  
OC219;Tukangbesi  
OC220;South Australia  
OC221;Kai isl.  
OC222;Obi isl.  
OC223;New South Wales state south  
OC224;Tanimbar isl  
OC225;Turtle isl  
OC226;Pingelap and Mwokil (Mokil) atolls  
SA001;Easter  
SA002;Falkland  
SA003;Fernando/Noronh  
SA004;Galapagos  
SA005;Juan Fernando  
SA006;Netherlands Antilles  
SA007;Mapelo  
SA008;Tierra del Fuego  
SA009;Tobago  
SA010;Trindade  
SA011;Trinidad  
SA012;Nueva Esparta  
SA013;San Felix  
SA014;St. Peter & Paul  
SA015;Los Monjes  
SA016;Maranhao Cen  
SA017;Gorgona  
SA018;Chiloe  
SA019;Abrolhos  
SA020;Salut  
SA021;B.Aires Pr. West  
SA022;B.Aires Pr. South  
SA023;Bahia Centre  
SA024;Sao Paulo South  
SA025;Maranhao East  
SA026;Santa Catarina South  
SA027;Santa Catarina North  
SA028;Sao Paulo North  
SA029;Rio de Janeiro  
SA030;Flores  
SA031;Wollaston  
SA032;Wellington  
SA033;La Plata  
SA034;Puna  
SA035;Los Roques  
SA036;Aruba  
SA037;La Blanquilla  
SA038;Atol/Rocas  
SA039;Lobos  
SA040;Rosario  
SA041;Maranhao West  
SA042;Para West  
SA043;Guaitecas  
SA044;La Tortuga  
SA045;Amata  
SA046;Pernambuco  
SA047;Parana  
SA048;Sucre/Anzoate  
SA049;Los Estados  
SA050;Navarino  
SA051;Las Aves  
SA052;San Lorenzo  
SA053;San Pedro  
SA054;La Orchila  
SA055;B. Aires Pr. N  
SA056;La Isla Cojimie 
SA057;San Gabriel  
SA058;Farallon Centi  
SA059;Los Testigos  
SA060;Para East  
SA061;Mocha  
SA062;Bahia South  
SA063;Monagas/Delt  
SA064;Los Chonos  
SA065;Chubut South  
SA066;Zulia/Falcon  
SA067;Espirito Santo  
SA068;Laguan  
SA069;Santa Maria  
SA070;QuiriQuina  
SA071;Sao Paula Ce.  
SA072;Maranhao East  
SA073;Ica Dept. Group  
SA074;Amcash Dept.  
SA075;La Libertad Dept.  
SA076;Tumbes/Piura/Lambayeque  
SA077;Rio de Janeiro East  
SA078;Sucre/Cordoba Group  
SA079;Rio de Janeiro Centre  
SA080;Bahia Centre  
SA081;Narino Division  
SA082;Guajara Magdalena 
SA083;Salas y Gomez  
SA084;Choco South  
SA085;Atamaca Province Group  
SA086;Coquimbo / Aconcagua province group  
NA001;Grt. Bahama Bk  
NA002;Caicos  
NA003;Turks  
NA004;Endeavor  
NA005;Bermuda  
NA006;Victoria  
NA007;Southampton  
NA008;Ellesmere  
NA009;Parry  
NA010;Cape Breton  
NA011;Clipperton  
NA012;Cocos  
NA013;Maiz  
NA014;NB Prov. South  
NA015;Cuba/Guantanamo  
NA016;Cayman  
NA017;Cedros  
NA018;Greenland  
NA019;Kodiak  
NA020;Aves  
NA021;Barbados  
NA022;Anguilla  
NA023;Br. Virgin  
NA024;Grenada  
NA025;Grenadines  
NA026;New York  
NA027;Newfoundland  
NA028;Pribilof  
NA029;Prince Edward  
NA030;Revilla Giged  
NA031;Rhode Island  
NA032;St. Pierre & Miq  
NA033;San Andres  
NA034;Florida/Tampa Bay  
NA035;Swan  
NA036;Vancouver  
NA037;Semichi  
NA038;La Madeliene  
NA039;Andreanof  
NA040;St. Lawrence  
NA041;Alexander  
NA042;Prince William Sd  
NA043;Sverdrup  
NA044;Labrador South  
NA045;Mujeres  
NA046;Massach. South  
NA047;Baffin  
NA048;Bimini  
NA049;Providencia  
NA050;Barter  
NA051;Queen Charlotte  
NA052;Florida/Marco  
NA053;Trinity  
NA054;Berry  
NA055;Maine East  
NA056;Los Canarreos  
NA057;Bahia  
NA058;Georgia  
NA059;Fox  
NA060;Tigre  
NA061;BC Prov. North  
NA062;Florida Keys  
NA063;Sable  
NA064;Near  
NA065;San Juan  
NA066;South Channel  
NA067;N.Carol. East  
NA068;NB Prov. North  
NA069;Florida/Sanibel  
NA070;Rat  
NA071;Coiba  
NA072;Las Perlas  
NA073;Ambergris  
NA074;Nunivak  
NA075;Gulf  
NA076;Florida/Cedar Key  
NA077;Anticosti  
NA078;Santa Margarita  
NA079;Dry Tortugas  
NA080;Lit. Bahama Bk  
NA081;NS Prov. East  
NA082;Mississippi  
NA083;Virginia  
NA084;Harrington  
NA085;Florida/St. George  
NA086;Camaguey  
NA087;Shumagin  
NA088;Bocas del Tor  
NA089;LA/Chandeleur  
NA090;Cozumel  
NA091;BC Prov. South  
NA092;Texas West  
NA093;Los Colorados  
NA094;St. Paul  
NA095;Desecheo  
NA096;Hispaniola  
NA097;Jamaica  
NA098;Navassa  
NA099;Puerto Rico  
NA100;Antigua  
NA101;Dominica  
NA102;Guadeloupe  
NA103;Montserrat  
NA104;St. Christopher  
NA105;St. Martin  
NA106;US Virgin  
NA107;Martinique  
NA108;St. Lucia  
NA019;St. Vincent  
NA110;South Carolina  
NA111;New Jersey  
NA112;North Carolina West  
NA113;South Bahamas  
NA114;Les Saintes  
NA115;Clarion  
NA116;Chira/Jasper  
NA117;Cano  
NA118;Dundas  
NA119;LA/Dernieres  
NA120;LA/Marsh  
NA121;Walrus  
NA122;Dom. Republic Coast  
NA123;Turneffe  
NA124;San Jose  
NA125;Sept Isles  
NA126;NS Prov. South  
NA127;NS Prov. West  
NA128;Aux Lievres  
NA129;Banks  
NA130;Resolution  
NA131;King William  
NA132;Bajo Nuevo  
NA133;Serrana Bank  
NA134;West Coast  
NA135;Carmen  
NA136;Connecticut  
NA137;Maine West  
NA138;Florida/Amelia  
NA139;Maryland East  
NA140;Maryland West  
NA141;Florida/Hutchinson  
NA142;Florida/Alabama  
NA143;Texas East  
NA144;North Channel  
NA145;Saba/St. Eustati  
NA146;St. Barthelemy  
NA147;Grenadines  
NA148;Mass Nth/NH  
NA149;Haitian Coast  
NA150;Little Diomede  
NA151;East Coast  
NA152;Sarichef  
NA153;Yucatan/Perez  
NA154;NS Prov. North  
NA155;Uvita  
NA156;Nottingham  
NA157;Kayak/Wingham  
NA158;Cook Inlet  
NA159;King George  
NA160;Cayos Cochinos  
NA161;Pleasant  
NA162;San Martin  
NA163;Partida/Smith  
NA164;Natividad  
NA165;San Marcos  
NA166;San Pedro Nola  
NA167;Patos/Tiburon  
NA168;LA/Grand Isle  
NA169;WA/Tatoosh  
NA170;San Blas  
NA171;Altamura  
NA172;Plover  
NA173;Charlton  
NA174;Igloolik  
NA175;Couper  
NA176;Mingan  
NA177;Bonaventure  
NA178;Farallon  
NA179;Guadalupe  
NA180;South Water  
NA181;Estevan  
NA182;Nicholson  
NA183;Roqueta  
NA184;California North  
NA185;Thomson  
NA186;Fox  
NA187;California Centre  
NA188;Cacaluta  
NA189;Tres Marietas  
NA190;Meanguera  
NA191;Huevos  
NA192;Hendrickson  
NA193;Herschel  
NA194;Big  
NA195;Hopewell  
NA196;Belcher  
NA197;Chugach  
NA198;Newfoundland Coast  
NA199;St. Martin Coast  
NA200;Quintana Roo State  
NA201;Jarndines de la Reina  
NA202;Colon/Veraguas N  
NA203;Los Santos/Herrera  
NA204;Sabana Archipeligo  
NA205;Center Group  
NA206;Baren  
NA207;N. W. T.  
NA208;N. W. T.  
NA209;Carribean sea coast south group  
NA210;Norton Sound Coast group  
NA211;Oregon state group  
NA212;Pacific Ocean coast group  
EU001;Dodecanese  
EU002;Aland  
EU003;Azores  
EU004;Balearic  
EU005;Mainland  
EU006;Aran  
EU007;Blaskets  
EU008;Inner Hebrides  
EU009;Orkneys  
EU010;Outer Hebrides  
EU011;Scilly Isles  
EU012;Shetlands  
EU013;Jersey  
EU014;Corsica  
EU015;Crete  
EU016;Adriatic South  
EU017;Eolie  
EU018;Faeroes  
EU019;Franz Josef  
EU020;Gotland  
EU021;Iceland  
EU022;Jan Mayen  
EU023;Maltese  
EU024;Sardinia  
EU025;Sicily  
EU026;Svalbard  
EU027;Bear  
EU028;Toscano  
EU029;Sjaelland  
EU030;Bornholm  
EU031;Napoletano  
EU032;Oleron/Aix  
EU033;Vesteralen  
EU034;Saaremaa  
EU035;Novaya Zeml  
EU036;Hitra/Smola  
EU037;Kalmar/Oland  
EU038;West Frisian  
EU039;Chausey  
EU040;Estremadura  
EU041;Maddalena  
EU042;North Frisian  
EU043;Goteborg/Bo  
EU044;Mageroya  
EU045;Ponziano  
EU046;Senja/Tromso  
EU047;East Frisian  
EU048;Belle/Groix  
EU049;Aegean  
EU050;Tremiti  
EU051;Ustica  
EU052;Ionian  
EU053;Market Reef  
EU054;Egadi  
EU055;Karmoy/Solun  
EU056;Nordoyane  
EU057;Rugen  
EU058;Lerins  
EU059;St. Kilda  
EU060;Euboea  
EU061;Hvaler/Tjome  
EU062;Donna/Vikna  
EU063;Kong Karls  
EU064;Noirmoutier  
EU065;Ouessant/Molen  
EU066;Solovetskiy  
EU067;Cyclades  
EU068;Sein  
EU069;Columbretes  
EU070;Hyeres  
EU071;Westman  
EU072;N.Sporades  
EU073;Cheradi  
EU074;Brehat  
EU075;Hydra  
EU076;Lofoten  
